DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2014.09.15,57100,58490,56985,58450,1151190,310296,5
2014.09.16,58280,60780,58190,59450,1901400,555773,5
2014.09.17,59920,60750,59260,59500,1660340,454549,5
2014.09.18,59700,59760,58465,59000,1112330,309557,5
2014.09.19,58585,58945,57810,58145,1079760,284237,5
2014.09.22,57800,57800,56265,56855,1329310,358457,5
2014.09.23,56935,57745,56315,56545,1423700,374942,5
2014.09.24,56600,57465,56025,57190,1251270,324729,5
2014.09.25,56950,56995,56035,56680,1256590,324553,5
2014.09.26,56620,57800,56130,57800,1196480,302287,5
2014.09.29,55260,55595,54285,54630,1252030,326095,5
2014.09.30,54500,54695,53685,53950,1335650,338535,5
2014.10.01,53260,53870,52360,52360,1491300,381456,5
2014.10.02,52785,54165,52565,53070,1602300,408992,5
2014.10.03,53155,54950,53155,54780,1352130,364912,5
2014.10.06,60000,60060,57080,57600,1764610,480685,5
2014.10.07,58010,58480,57420,57420,1412790,368118,5
2014.10.08,57730,58600,56260,57955,1834500,478672,5
2014.10.09,58400,58635,57065,57065,1709980,425952,5
2014.10.10,56800,57000,55060,55110,1654260,412766,5
2014.10.13,57000,58860,56770,57850,1766550,434562,5
2014.10.14,57400,58940,57200,58000,1870070,450110,5
2014.10.15,58675,58675,55775,56855,1946050,526177,5
2014.10.16,55685,56320,54600,54635,2412460,579967,5
2014.10.17,55710,56900,55620,56750,1657640,404400,5
2014.10.20,55945,56400,55015,55535,141387,341219,5
2014.10.21,53300,53980,52605,53260,163626,394149,5
2014.10.22,53000,54050,52680,52905,142727,345869,5
2014.10.23,52450,52640,50490,51110,174140,422085,5
2014.10.24,51480,53905,51130,52200,186986,477306,5
2014.10.27,48280,51510,48140,51295,177654,496217,5
2014.10.28,51470,53070,51465,52545,153085,382876,5
2014.10.29,52000,52905,51155,51840,149720,368494,5
2014.10.30,52120,53220,52030,52900,153772,364712,5
2014.10.31,53720,55435,53025,55325,171500,412867,5
2014.11.03,54900,55105,53610,54485,150735,368555,5
2014.11.04,54585,55230,53945,54435,164793,395235,5
2014.11.05,54500,54785,53950,54195,129817,307118,5
2014.11.06,53900,53950,52840,52960,142222,336100,5
2014.11.07,53400,54095,52655,53835,156428,373111,5
2014.11.10,54000,54400,52925,52950,123025,290940,5
2014.11.11,52940,53175,52435,53065,124569,293427,5
2014.11.12,52940,53980,52615,53265,134223,320515,5
2014.11.13,53505,53815,52140,52265,158309,360342,5
2014.11.14,51935,52365,50910,52310,155731,357761,5
2014.11.17,51900,52665,51395,51660,150497,331456,5
2014.11.18,51690,52730,51430,52605,149994,344469,5
2014.11.19,52450,54130,52330,53820,176304,413956,5
2014.11.21,54400,57045,54280,57045,198066,446534,5
2014.11.24,56840,57790,55620,55800,184540,439768,5
2014.11.25,56010,56805,55530,55835,154687,364443,5
2014.11.26,56280,56530,55270,55650,131726,314535,5
2014.11.27,55650,56420,54810,55165,108921,272565,5
2014.11.28,55200,55770,54710,54710,127056,310771,5
2014.12.01,54440,54540,52050,52215,167602,414971,5
2014.12.02,52500,52820,51605,51800,154300,362925,5
2014.12.03,51950,52695,51850,52145,122212,283850,5
2014.12.04,52835,52950,51210,51520,136091,323982,5
2014.12.05,51820,52235,51225,52055,123185,292443,5
2014.12.08,51740,52010,50090,50455,122890,285989,5
2014.12.09,50000,50445,49505,50335,161743,378865,5
2014.12.10,50350,50360,49340,49590,161570,381700,5
2014.12.11,49680,50055,48835,49390,142477,345435,5
2014.12.12,48825,49770,47930,48290,153752,377205,5
2014.12.15,48440,48535,46315,47300,169423,422812,5
2014.12.16,47235,47680,45720,46980,230754,563902,5
2014.12.17,47750,50045,47540,49025,180248,438393,5
2014.12.18,49820,50355,48895,49175,155823,363825,5
2014.12.19,49550,50575,49295,50575,139157,332853,5
2014.12.22,50465,50910,49825,50765,116700,283303,5
2014.12.23,50795,51540,50440,51290,113491,277880,5
2014.12.26,51395,51700,50535,50750,75918,173598,5
2014.12.29,50700,51600,50505,51495,101534,240782,5
2014.12.30,51405,51530,50275,50330,106756,253502,5
2015.01.02,50200,50400,48815,49130,120551,286214,5
2015.01.05,49050,49050,47750,48035,134217,323439,5
2015.01.06,47850,48805,47570,48805,145767,366835,5
2015.01.07,49120,50480,49085,50045,129104,314747,5
2015.01.08,50200,50845,49475,50500,144536,353199,5
2015.01.09,50230,50350,48950,49395,130092,310341,5
2015.01.12,49535,49550,48350,48450,136357,324602,5
2015.01.13,48615,49355,48340,48515,154265,363647,5
2015.01.14,48300,48765,47685,48585,153282,368508,5
2015.01.15,48310,49330,47940,48635,160813,393315,5
2015.01.16,48320,49720,48195,49290,141677,344039,5
2015.01.19,48970,49195,47805,48160,69828,187810,5
2015.01.20,48580,49060,47915,48525,142849,354401,5
2015.01.21,48450,49765,48285,49765,157996,407360,5
2015.01.22,49850,50700,49570,49940,151583,366227,5
2015.01.23,49685,49845,48750,48780,123120,319698,5
